#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
M,ntfs-3g,"allows accessing NTFS partitions."
M,openssh, "ssh client"
M,p7zip,"another unzip whynot?" 
M,pacman-contrib,
M,pamixer,"is a command-line audio interface."
M,pcmanfm-gtk3, "GUI File manager"
M,perl-file-mimeinfo, Mime opener
M,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
M,pulseaudio-alsa,"is the audio system."
M,pulsemixer,"is an audio controller."
M,ripgrep, "Search tools combines of ag and grep !rf:doom-emacs"
M,rsync, "versatile copying tool for remote and local files"
M,screenkey, "is screencast tools to display keys"
M,slock,"allows you to lock your computer, and quickly unlock with your password."
M,sxiv,"is a minimalist image viewer."
M,tar, "Extracts tar."
M,tiny-media-manager-3, "is GUI app for media Management Tools (movies/tvshow) "
M,tlp, "is Power Management TOols for linux"
M,tmux, "Multiplexer window"
M,unrar,"extracts rar's."
M,unzip,"unzips zips."
M,xcape,"gives the special escape/super mappings ."
M,xclip,"allows for copying and pasting from the command line."
M,xcompmgr,"is for transparency and removing screen-tearing."
M,xdotool,"provides window action utilities on the command line."
M,xorg-server,"is the graphical server."
M,xorg-xbacklight,"enables changing screen brightness levels."
M,xorg-xdpyinfo,"aids with resolution determination and screen recording."
M,xorg-xinit,starts the graphical server.
M,xorg-xwininfo,"allows querying information about windows."
M,xsel,"allows for copying and pasting from the command line."
M,xwallpaper,"sets the wallpaper."
M,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
M,zathura-cb,"allows comic books compatibility in zathura."
M,zathura-djvu,"allows DjVu compatibility in zathura."
M,zathura,"is a pdf viewer with vim-like bindings."
M,zathura-pdf-mupdf,"allows mupdf pdf,ePub,OpenXPS compatibility in zathura."
M,zathura-ps,"allows PostScripts compatibility in zathura."
M,zenity,"Local files for spotify"
N,neovim, "[NPM] neovim"
P,neovim, "[PIP] neovim"
X,amd-ucode, "amd cpu"
X,broadcam-wl,
X,broadcam-wl-dkms,
X,calibre, "is GUI Ebook Management Applications"
X,color-picker, "Color picker GUI"
X,dnsutils, "is a collection of common network programs"
X,inetutils, "is a collection of common network programs"
X,intel-ucode, "intel cpu"
X,net-tools, "networking tools"
X,rambox-bin, [app] All-in-One Messaging
X,sysstat, "is Collection of monitoring tools"
X,vscodium-bin, [app] VSCode without Microsoft Telematry
X,xf86-video-amdgpu, "for amdgpu"
X,xf86-video-ati, "for ati gpu "
X,xf86-video-intel, "for intel gpu"
X,xf86-video-qxl, "for vm video"
